instance,tree,method,compress,time,orignodes,newnodes
miplib2017/neos-3083819-nubu,RB,drop,0.0,0.5303857326507568,10001,10001
miplib2017/neos-3381206-awhea,RB,heuristic,99.9900009999,0.8615097999572754,10001,1
miplib2017/neos-3381206-awhea,RB,drop,99.9900009999,0.8272454738616943,10001,1
miplib2017/neos-3656078-kumeu,RB,heuristic,99.97537552327013,0.7205450534820557,4061,1
miplib2017/neos-3656078-kumeu,RB,drop,99.97537552327013,0.1005239486694336,4061,1
miplib2017/neos-3754480-nidda,RB,heuristic,18.51814818518148,2791.8767738342285,10001,8149
miplib2017/neos-3754480-nidda,RB,drop,0.0,0.3599255084991455,10001,10001
miplib2017/neos-4338804-snowy,RB,heuristic,99.9900009999,0.4734971523284912,10001,1
miplib2017/neos-4338804-snowy,RB,drop,99.9900009999,0.1673574447631836,10001,1
miplib2017/neos-4387871-tavua,RB,heuristic,28.65713428657134,18326.396681308746,10001,7135
miplib2017/neos-4387871-tavua,RB,drop,0.07999200079992219,0.4363870620727539,10001,9993
miplib2017/neos-4532248-waihi,RB,heuristic,28.57142857142857,64515.775367975235,7,5
miplib2017/neos-4532248-waihi,RB,drop,28.57142857142857,0.008287668228149414,7,5
miplib2017/neos-4647030-tutaki,RB,heuristic,65.8134186581342,86400.13858795166,10001,3419
miplib2017/neos-4647030-tutaki,RB,drop,65.8134186581342,0.30863428115844727,10001,3419
miplib2017/neos-4722843-widden,RB,heuristic,0.0,86400.28010177612,10001,10001
miplib2017/neos-4722843-widden,RB,drop,0.0,0.6994185447692871,10001,10001
miplib2017/neos-4954672-berkel,RB,heuristic,40.055994400559946,13852.119332075119,10001,5995
miplib2017/neos-4954672-berkel,RB,drop,0.0,0.4148523807525635,10001,10001
miplib2017/neos-5093327-huahum,RB,heuristic,0.9399060093990608,86400.15837264061,10001,9907
miplib2017/neos-5093327-huahum,RB,drop,0.9399060093990608,0.3224620819091797,10001,9907
miplib2017/neos-5107597-kakapo,RB,heuristic,35.03649635036496,86399.97129368782,10001,6497
miplib2017/neos-5107597-kakapo,RB,drop,33.81661833816618,0.35650134086608887,10001,6619
miplib2017/neos-5114902-kasavu,RB,heuristic,24.753363228699556,86400.97621178627,1115,839
miplib2017/neos-5114902-kasavu,RB,drop,24.753363228699556,0.0855710506439209,1115,839
miplib2017/neos-5188808-nattai,RB,heuristic,1.5598440155984439,86400.0538482666,10001,9845
miplib2017/neos-5188808-nattai,RB,drop,0.0,0.35912489891052246,10001,10001
miplib2017/neos-662469,RB,heuristic,1.3998600139985995,86400.0259475708,10001,9861
miplib2017/neos-662469,RB,drop,1.3998600139985995,0.96187424659729,10001,9861
miplib2017/neos-787933,RB,heuristic,2.0197980201979826,86400.15926241875,10001,9799
miplib2017/neos-787933,RB,drop,2.0197980201979826,0.27301859855651855,10001,9799
miplib2017/neos-827175,RB,heuristic,0.0,0.26268506050109863,1,1
miplib2017/neos-827175,RB,drop,0.0,0.0019042491912841797,1,1
miplib2017/neos-848589,RB,heuristic,0.3599640035996443,86400.48779082298,10001,9965
miplib2017/neos-848589,RB,drop,0.3599640035996443,0.39646148681640625,10001,9965
miplib2017/neos-860300,RB,heuristic,8.555805725313604,86399.97297787666,9327,8529
miplib2017/neos-860300,RB,drop,0.0,0.4033172130584717,9327,9327
miplib2017/neos-873061,RB,heuristic,1.3798620137986162,86400.28973913193,10001,9863
miplib2017/neos-873061,RB,drop,0.0,0.47890233993530273,10001,10001
miplib2017/neos-911970,RB,heuristic,99.9900009999,0.1880018711090088,10001,1
miplib2017/neos-911970,RB,drop,99.9900009999,0.1985006332397461,10001,1
miplib2017/neos-933966,RB,heuristic,0.0,0.27698612213134766,1,1
miplib2017/neos-933966,RB,drop,0.0,0.0017178058624267578,1,1
miplib2017/neos-957323,RB,heuristic,0.0,0.47881150245666504,1,1
miplib2017/neos-957323,RB,drop,0.0,0.0028235912322998047,1,1
miplib2017/neos-960392,RB,heuristic,0.0,0.2934567928314209,1,1
miplib2017/neos-960392,RB,drop,0.0,0.0011868476867675781,1,1
miplib2017/neos17,RB,heuristic,99.89001099890011,31.44633650779724,10001,11
miplib2017/neos17,RB,drop,0.0,0.48613905906677246,10001,10001
miplib2017/neos5,RB,heuristic,94.67053294670534,48.428027391433716,10001,533
miplib2017/neos5,RB,drop,86.77132286771322,0.3827390670776367,10001,1323
miplib2017/neos8,RB,heuristic,27.469426152398867,20309.809490680695,1063,771
miplib2017/neos8,RB,drop,0.0,0.03752470016479492,1063,1063
miplib2017/net12,RB,heuristic,0.0,86400.01854801178,10001,10001
miplib2017/net12,RB,drop,0.0,0.6040544509887695,10001,10001
miplib2017/nexp-150-20-8-5,RB,heuristic,0.339966003399661,86399.92628026009,10001,9967
miplib2017/nexp-150-20-8-5,RB,drop,0.019998000199983323,0.41722631454467773,10001,9999
miplib2017/ns1116954,RB,heuristic,0.0,0.5719761848449707,1,1
miplib2017/ns1116954,RB,drop,0.0,0.0013499259948730469,1,1
miplib2017/ns1208400,RB,heuristic,99.9900009999,0.25304436683654785,10001,1
miplib2017/ns1208400,RB,drop,99.9900009999,0.09058332443237305,10001,1
miplib2017/ns1830653,RB,heuristic,9.01909809019098,86400.01066994667,10001,9099
miplib2017/ns1830653,RB,drop,0.0,0.43232250213623047,10001,10001
miplib2017/nursesched-sprint02,RB,heuristic,98.25017498250175,60325.98422002792,10001,175
miplib2017/nursesched-sprint02,RB,drop,97.8102189781022,0.07759404182434082,10001,219
miplib2017/nw04,RB,heuristic,57.3540280857354,40592.17992520332,1353,577
miplib2017/nw04,RB,drop,0.0,0.06619071960449219,1353,1353
miplib2017/p200x1188c,RB,heuristic,85.31146885311469,6690.753445148468,10001,1469
miplib2017/p200x1188c,RB,drop,0.0,1.1230268478393555,10001,10001
miplib2017/peg-solitaire-a3,RB,heuristic,0.0,0.1187288761138916,1,1
miplib2017/peg-solitaire-a3,RB,drop,0.0,0.0014481544494628906,1,1
miplib2017/pg,RB,heuristic,4.179582041795815,8783.760597229004,10001,9583
miplib2017/pg,RB,drop,0.0,0.3170311450958252,10001,10001
miplib2017/pg5_34,RB,heuristic,4.459554044595537,6630.4817435741425,10001,9555
miplib2017/pg5_34,RB,drop,0.0,0.8817238807678223,10001,10001
miplib2017/pk1,RB,heuristic,40.15598440155984,417.2249164581299,10001,5985
miplib2017/pk1,RB,drop,0.0,0.48166584968566895,10001,10001
miplib2017/proteindesign121hz512p9,RB,heuristic,6.699330066993303,86400.21710300446,10001,9331
miplib2017/proteindesign121hz512p9,RB,drop,0.019998000199983323,0.5170695781707764,10001,9999
miplib2017/proteindesign122trx11p8,RB,heuristic,87.75122487751224,86400.1816534996,10001,1225
miplib2017/proteindesign122trx11p8,RB,drop,85.53144685531447,1.7610797882080078,10001,1447
miplib2017/radiationm18-12-05,RB,heuristic,99.97000299970003,399.86115980148315,10001,3
miplib2017/radiationm18-12-05,RB,drop,1.919808019198077,0.4909350872039795,10001,9809
miplib2017/ran14x18-disj-8,RB,heuristic,38.47615238476152,35223.9854824543,10001,6153
miplib2017/ran14x18-disj-8,RB,drop,0.0,0.3399035930633545,10001,10001
miplib2017/rd-rplusc-21,RB,heuristic,99.9900009999,1.045102596282959,10001,1
miplib2017/rd-rplusc-21,RB,drop,99.9900009999,0.26900291442871094,10001,1
miplib2017/reblock115,RB,heuristic,11.6988301169883,86399.90829706192,10001,8831
miplib2017/reblock115,RB,drop,0.0,0.38440847396850586,10001,10001
miplib2017/rmatr100-p10,RB,heuristic,15.272727272727272,7482.676308631897,825,699
miplib2017/rmatr100-p10,RB,drop,0.0,0.029299497604370117,825,825
miplib2017/rocII-5-11,RB,heuristic,99.9900009999,0.7944908142089844,10001,1
miplib2017/rocII-5-11,RB,drop,99.9900009999,0.7804017066955566,10001,1
miplib2017/rococoB10-011000,RB,heuristic,14.118588141185883,86399.91682338715,10001,8589
miplib2017/rococoB10-011000,RB,drop,0.0,0.2854900360107422,10001,10001
miplib2017/rococoC10-001000,RB,drop,0.0,0.3735058307647705,10001,10001
miplib2017/roi2alpha3n4,RB,heuristic,5.499450054994504,86400.0317132473,10001,9451
miplib2017/roi2alpha3n4,RB,drop,0.0,0.3419196605682373,10001,10001
miplib2017/roi5alpha10n8,RB,heuristic,0.1799820017998166,86400.06999397278,10001,9983
miplib2017/roi5alpha10n8,RB,drop,0.0,0.3253304958343506,10001,10001
miplib2017/roll3000,RB,heuristic,30.776922307769226,86399.9195113182,10001,6923
miplib2017/roll3000,RB,drop,0.0,1.1648633480072021,10001,10001
miplib2017/savsched1,RB,heuristic,0.5799420057994165,86400.8426964283,10001,9943
miplib2017/savsched1,RB,drop,0.5799420057994165,0.6156845092773438,10001,9943
miplib2017/seymour,RB,heuristic,0.0,86400.00516152382,10001,10001
miplib2017/seymour,RB,drop,0.0,0.3849666118621826,10001,10001
miplib2017/seymour1,RB,heuristic,0.30085241517633365,86400.01171708107,5983,5965
miplib2017/seymour1,RB,drop,0.0,0.21268939971923828,5983,5983
miplib2017/sing326,RB,heuristic,0.05999400059993887,86400.133425951,10001,9995
miplib2017/sing326,RB,drop,0.05999400059993887,0.4542100429534912,10001,9995
miplib2017/sing44,RB,heuristic,0.15998400159984438,86399.99186062813,10001,9985
miplib2017/sing44,RB,drop,0.15998400159984438,0.34564781188964844,10001,9985
miplib2017/sp150x300d,RB,heuristic,69.43305669433057,496.3614945411682,10001,3057
miplib2017/sp150x300d,RB,drop,0.019998000199983323,0.4550797939300537,10001,9999
miplib2017/sp97ar,RB,heuristic,0.5399460053994609,86399.92780613899,10001,9947
miplib2017/sp97ar,RB,drop,0.0,0.39777469635009766,10001,10001
miplib2017/sp98ar,RB,heuristic,0.2799720027997221,86400.03553557396,10001,9973
miplib2017/sp98ar,RB,drop,0.019998000199983323,0.43433046340942383,10001,9999
miplib2017/supportcase10,RB,heuristic,0.0,362.63143396377563,3,3
miplib2017/supportcase10,RB,drop,0.0,0.0014464855194091797,3,3
miplib2017/supportcase18,RB,heuristic,99.9900009999,1.407651424407959,10001,1
miplib2017/supportcase18,RB,drop,99.9900009999,1.3747031688690186,10001,1
miplib2017/supportcase26,RB,heuristic,68.73312668733126,3477.6090149879456,10001,3127
miplib2017/supportcase26,RB,drop,0.0,0.3544635772705078,10001,10001
miplib2017/supportcase40,RB,heuristic,0.31996800319967766,86400.08939099312,10001,9969
miplib2017/supportcase40,RB,drop,0.0,0.4568047523498535,10001,10001
miplib2017/swath1,RB,heuristic,88.5111488851115,47708.29022574425,10001,1149
miplib2017/swath1,RB,drop,0.0,0.5965607166290283,10001,10001
miplib2017/swath3,RB,heuristic,76.95230476952305,86399.91966938972,10001,2305
miplib2017/swath3,RB,drop,0.0,0.4713454246520996,10001,10001
miplib2017/tbfp-network,RB,heuristic,0.0,86400.11501979828,61,61
miplib2017/tbfp-network,RB,drop,0.0,0.00780487060546875,61,61
miplib2017/tr12-30,RB,heuristic,19.818018198180187,15826.913482904434,10001,8019
miplib2017/tr12-30,RB,drop,0.0,0.3488333225250244,10001,10001
miplib2017/trento1,RB,heuristic,0.19998000199979993,86400.01541399956,10001,9981
miplib2017/trento1,RB,drop,0.19998000199979993,0.3793635368347168,10001,9981
miplib2017/uccase12,RB,heuristic,0.0,0.6283042430877686,1,1
miplib2017/uccase12,RB,drop,0.0,0.03812575340270996,1,1
miplib2017/uct-subprob,RB,drop,0.0,0.4211544990539551,10001,10001
miplib2017/unitcal_7,RB,heuristic,0.039996000399955545,86400.16794633865,10001,9997
miplib2017/unitcal_7,RB,drop,0.039996000399955545,0.2887558937072754,10001,9997
miplib2017/var-smallemery-m6j6,RB,heuristic,0.07999200079992219,86400.02991104126,10001,9993
miplib2017/var-smallemery-m6j6,RB,drop,0.0,0.3529202938079834,10001,10001
